001,Fredy,fredy@gmail.com,Programacion 1,Parcial 1,15.0,100.0,WrittenExam
001,Fredy,fredy@gmail.com,Programacion 1,Parcial 2,15.0,100.0,WrittenExam
001,Fredy,fredy@gmail.com,Programacion 1,Laboratorio,30.0,100.0,LabEvaluation
001,Fredy,fredy@gmail.com,Programacion 1,Proyecto Final,40.0,100.0,ProjectEvaluation
001,Fredy,fredy@gmail.com,Calculo 1,Parcial 1,15.0,95.0,WrittenExam
002,Kervin,kervin@gmail.com,SIN_CURSO
003,Edward Natareno,edward@gmail.com,Fisica 1,Parcial 1,15.0,85.0,WrittenExam
003,Edward Natareno,edward@gmail.com,Fisica 1,Parcial 2,15.0,80.0,WrittenExam
003,Edward Natareno,edward@gmail.com,Fisica 1,Examen final,70.0,75.0,WrittenExam
003,Edward Natareno,edward@gmail.com,Programacion 1,SIN_EVALUACION
